Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Albania,ALB,61.8015062834951,62.6621972664696,66.6197489734645,66.8606796405404,67.5208146900612,68.1105971529832,68.6455670443559,69.1030976367574,69.4364209304935,69.4436888572377,69.4157744881129,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Algeria,DZA,53.2833993899515,61.3925594365767,67.3435899865109,67.3223500197424,67.0610060012127,66.7631878498573,66.4007820637613,65.9643661481706,65.4771996698998,64.973928024325,64.5043864750743,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Angola,AGO,49.1645483883133,50.1307347445922,50.3171527126465,50.3702426932349,50.3271560474372,50.3499580612962,50.4160765648884,50.5056636092406,50.6133839304319,50.6908628095137,50.7875838704107,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Antigua and Barbuda,ATG,61.2660429411059,63.9045750382849,66.2645195071649,66.7349806150368,67.1674380217094,67.6400384388853,68.1121197252208,68.5259165613148,68.8580206759205,69.0520289611046,69.1732345214289,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Argentina,ARG,60.3333072714084,62.1035871543462,63.612669664537,63.7214844043462,63.7967765179912,63.8270413297334,63.8314501024626,63.8431497819469,63.8777606355371,63.8805193371653,63.9162381566767,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Armenia,ARM,64.3241623836085,64.1732050034076,69.1860787153844,69.5456625995591,69.7065045289978,69.7222894998546,69.6111883529652,69.4364156877318,69.2461989406743,69.0155209763623,68.760872903479,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Aruba,ABW,67.7967465285041,69.2404213399668,69.1610893714331,68.838092240506,68.8828353894545,68.9764762081168,69.090098558927,69.1651813671179,69.1597742018957,69.1524679933602,69.0036479708162,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Australia,AUS,66.8484765158513,66.7885758175736,67.6227469106272,67.5364546865687,67.2771807256817,67.0264972833708,66.7686274587725,66.4895239412971,66.1877053504696,65.8488024959786,65.4838798995246,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Austria,AUT,68.1482101966235,67.7829460784338,67.5619991211509,67.4849514545213,67.4236961728936,67.3535857972271,67.2623179278746,67.155383506965,67.0395546223339,66.8762899389668,66.7068553857482,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Azerbaijan,AZE,62.1561502022016,63.0023781381187,70.6799230469879,71.2664117858518,71.5699841434517,71.6839233422167,71.6356857479037,71.5059843087549,71.3514054195463,70.9815846708652,70.7047679751361,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,"Bahamas, The",BHS,63.248626802322,65.3425761187015,69.8604504362333,70.5134245299752,70.6370987101984,70.849561470706,71.0393913688898,71.1007433883962,71.0147400203703,70.8584676100114,70.5502060142503,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Bahrain,BHR,65.1274068368382,67.4057422804816,76.8689205074306,77.608710718839,77.5050478420426,77.4051562162316,77.2492399713854,77.0372127444165,76.8259765062634,77.3655231547653,77.906168095062,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Bangladesh,BGD,54.544091448123,59.1087652211949,62.7855679996401,63.1964275411892,63.6645794208682,64.1144791971373,64.5630785333663,65.0354264616293,65.5400287316039,66.0216686480326,66.5318015814574,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Barbados,BRB,65.8364506440735,66.5314048331091,67.7505655905483,67.6140773834009,67.5564235337721,67.3824955164515,67.1143220215993,66.8013479894843,66.4703378052685,66.2412805793766,65.987211211015,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Belarus,BLR,66.3861821936046,67.9741672940822,71.0342423377695,71.1688954933411,71.0306489940328,70.7611914613276,70.3850509267846,69.9594437487737,69.5287215421159,68.9812977621829,68.4590790907549,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Belgium,BEL,67.0824212635252,65.5677043635242,65.8123125625559,65.7832315041066,65.6495006893165,65.4772342796306,65.2732024141659,65.0596243337626,64.8535339486213,64.6001511307203,64.334157294877,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Belize,BLZ,52.4099982938065,55.3508683258193,59.9718407665428,60.4885450610682,61.2183771173054,61.8830950903027,62.5182680043349,63.1520583234289,63.7833715570795,64.2423846040648,64.726527365946,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Benin,BEN,50.4589337824114,51.6039365850412,52.7605155496447,52.9240996475912,53.0184227510522,53.1603036644479,53.3358901952741,53.5300589731685,53.735190931275,53.8984214744666,54.0874515868906,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Bhutan,BTN,53.352255807028,55.1224590872944,64.5328346802751,65.2547066479212,65.8022173907172,66.3771453463432,66.9439357039117,67.4589927464557,67.9026551145182,68.2766228149894,68.5653966642315,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Bolivia,BOL,54.3048934664519,56.6198357889526,59.0485070420919,59.3628286141838,59.6836106887809,60.0401367164228,60.4116780112505,60.7675002809558,61.0892980273117,61.3888725098233,61.6565293713128,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Bosnia and Herzegovina,BIH,69.2550245081016,68.3337112054936,70.0563263216587,70.326301072195,70.2337982008016,70.2121045995285,70.1997975588898,70.084060524924,69.8052099556528,69.6459524751935,69.301546014747,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Botswana,BWA,52.9346576559316,59.4334448083132,63.1815431424701,63.4920634920635,63.7545525142358,63.9880535007885,64.1863522177752,64.3489981660751,64.4824341152011,64.5535182601122,64.65275623227,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Brazil,BRA,60.4978348319001,64.8145136483624,68.0432239357036,68.3638397636492,68.6488346919347,68.9090444874814,69.1449211513865,69.3531017909607,69.5292975929339,69.6163989839485,69.7004793550836,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Brunei Darussalam,BRN,62.725814865622,66.9551465756014,70.334990567316,70.640556576151,71.0908015725369,71.4512642965068,71.7464926204537,72.0061014709597,72.2382419014135,72.2901445193244,72.3849245504401,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Bulgaria,BGR,66.5095379438325,67.7471030423791,68.8780892780742,68.6146835949053,68.154307114272,67.6203695483534,67.0372072328351,66.4564198032579,65.9170261749526,65.4326148209618,64.9624938475456,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Burkina Faso,BFA,49.4638654214704,50.4652762737788,51.1619995351725,51.3087322015452,51.3567112451362,51.4673153738386,51.6236923658868,51.809529831638,52.0181855688683,52.2026545237902,52.4099608917282,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Burundi,BDI,49.4624511694856,47.6509466299499,52.9909361857673,53.2535790750012,53.1486454150314,53.0703315875709,52.9924524379007,52.8856051331458,52.7448238942591,52.5984175204438,52.4431104048187,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Cabo Verde,CPV,49.6596788959966,51.8887374476819,59.7173230200236,60.5614430395872,61.3749761350373,62.2072108004412,63.0133088255087,63.7402006317945,64.3621003803623,64.9026984950701,65.3345241842793,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Cambodia,KHM,52.8144363604998,55.3291732614109,62.419199205576,62.9400003075044,63.2826533376311,63.6440974696529,63.9594221861169,64.1739425399734,64.2785256902872,64.3503737064921,64.3091979174744,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Cameroon,CMR,50.1355757955166,51.6682276832999,53.180399825221,53.3185231512789,53.3548221439816,53.4176331015331,53.5079492872898,53.634260291771,53.8015115884624,53.9314436177805,54.1098807681654,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Canada,CAN,68.047668192461,68.2675948966697,69.4533778520526,69.3499963182645,69.1172710943708,68.8683738623618,68.5820323895608,68.2492504927997,67.874374170873,67.4563931451634,66.9906364368542,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Central African Republic,CAF,52.7758879916184,53.9626246276284,53.7798434686654,53.8628196986642,53.4947308548211,53.1771666589465,52.9245255134118,52.7410909174663,52.6217637095533,52.8398098559163,53.149355666784,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Chad,TCD,49.3189279786545,48.2929038919593,48.6187954813729,48.8494432920379,48.984929265222,49.1749674442656,49.405847860779,49.6681513265325,49.9576606100484,50.1439089300755,50.3715571966002,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Channel Islands,CHI,69.2786715101194,68.4982349974786,68.8253059525986,68.8772472913442,68.7595406767728,68.6163685717473,68.43938833395,68.235063110162,68.0040059111616,67.735093380981,67.4449834859722,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Chile,CHL,63.7744058132029,65.412755784441,68.1231439521287,68.2979181155174,68.4155585405236,68.5474991949622,68.6669493217138,68.7378099828328,68.7424662977396,68.7031267989499,68.5967707291709,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,China,CHN,65.5868651259777,68.4625742023468,73.706685826964,73.7515311047533,73.7059900266319,73.5597493353795,73.3217109544214,73.0094910994939,72.6382619611355,72.1765545818009,71.6818020231928,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Colombia,COL,59.4812492513838,63.72570726858,67.4376804161495,67.7447042284875,68.0228969790232,68.2339218209325,68.3954121942596,68.537746900307,68.674225223211,68.7790882692129,68.8741881661934,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Comoros,COM,50.9081765040307,52.9876077933907,55.7526750756032,56.0058692865801,56.1824818241389,56.3711892223444,56.5656102494943,56.763433567953,56.9647965588919,57.0987215953725,57.2636845260913,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,"Congo, Dem. Rep.",COD,51.9325136421556,51.5061850434699,50.9016144754395,50.8683744031978,50.7345541569285,50.6440265124231,50.5948697398802,50.5919968378872,50.6382153255383,50.6338111286692,50.6980564098436,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,"Congo, Rep.",COG,52.6076058705398,54.8763736050819,54.9564709599522,54.9952777639101,54.7091006995765,54.498017962331,54.3511765917911,54.2550236589223,54.2062811471104,54.2339851508666,54.32215938792,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Costa Rica,CRI,60.1687018228389,63.5588900412005,67.6552376721239,67.9631837862574,68.1435217327606,68.3487025050052,68.5487488210205,68.7014077550012,68.7903038612669,68.8702757966711,68.8851024171746,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Cote d'Ivoire,CIV,52.2315983838606,53.6538175841026,53.2822380969531,53.4136816857684,53.5680612746085,53.7575910062855,53.9714176872294,54.1939386676786,54.4124120365899,54.5129015675653,54.6344210168864,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Croatia,HRV,68.6350853744223,67.1123911264316,67.0558321377794,66.997308089617,66.8175540661817,66.7175527391199,66.6449577189803,66.5137533872315,66.2888667087188,65.9913629928333,65.5871921034107,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Cuba,CUB,67.9820254636115,68.3589047395616,70.1072888683603,70.1334795016805,70.1458283482249,70.1339360784864,70.0842004853241,69.9780249020806,69.8065302834759,69.532777238584,69.2283760669472,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Curacao,CUW,65.2426178317459,64.8263802148388,67.0909381448313,66.9584304373747,66.9685841971406,66.7621008595614,66.4172503954292,66.0326364751584,65.6357192582748,65.2697165732787,64.9424750372184,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Cyprus,CYP,64.6030466440738,67.3709776250257,70.4903850006739,70.746364169918,70.7173941066912,70.6636289471412,70.5638449649269,70.4260749503822,70.2717950705651,70.0046576220489,69.753490946979,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Czech Republic,CZE,65.7655725382691,69.7757754096032,70.7070334309318,70.3197027871111,69.7127039569144,69.0429692573409,68.3238565437986,67.5907291259181,66.874737475247,66.2458968082679,65.5990133263291,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Denmark,DNK,67.3697242718749,66.6767767656445,65.5403372184697,65.3825742001035,65.1571332537924,64.941860672363,64.6884778274995,64.3967581428673,64.109395915935,63.9748103510759,63.8375415165924,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Djibouti,DJI,52.4017696536912,56.0165778501193,60.9919458916878,61.5007296045567,62.0165208323469,62.4876728496286,62.9374988847849,63.4019759604633,63.8921776035298,64.270061644875,64.7004916482494,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Dominican Republic,DOM,57.3801440967241,59.8189666669859,62.2561390239193,62.4936489598641,62.738200844811,62.9303246200129,63.0864435767631,63.2344959236367,63.388480712253,63.5542663951241,63.7208625839812,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Ecuador,ECU,57.5403761818132,60.2664935991301,62.895895693192,63.165027195074,63.3950711438192,63.653084314537,63.9095933498779,64.1233992441228,64.2765204559262,64.3928178998098,64.4586919178498,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,"Egypt, Arab Rep.",EGY,54.4864607644906,58.539909342244,63.1256413173576,63.1387189881495,63.0839902427497,62.7765600358042,62.3494171133919,61.9930304529339,61.7999154430095,61.4386982719513,61.3696783612864,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,El Salvador,SLV,55.7103694321429,57.8815009681939,60.7150957525782,61.2214106743864,61.739587505006,62.3178700858317,62.8971086314549,63.3915330361815,63.7610776623697,64.1158903416099,64.3496173398791,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Equatorial Guinea,GNQ,52.9427475014408,55.6575286941885,58.1543947878752,58.4075979072741,58.6116726508363,58.8991067723353,59.1838862611719,59.4387050390287,59.6837302373938,59.7814963691884,59.9591066894167,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Eritrea,ERI,52.3093902279599,52.0086500799782,55.0387510573426,54.8120632954059,54.5900833353819,..,..,..,..,..,..,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Estonia,EST,66.1550098962333,67.399321855577,67.6117470037355,67.3427410213332,66.9239090096797,66.4937272347151,66.0397560458852,65.5555125728273,65.0476955815349,64.653523736668,64.180319356888,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Eswatini,SWZ,49.4164548923637,52.6027162382662,57.0015457259618,57.4840606795733,57.8718931033301,58.2592107729951,58.6264094077971,58.9554295933046,59.2440093372989,59.4670679280291,59.6508037277638,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Ethiopia,ETH,50.5633637504534,50.4224763689424,51.8211715515079,52.2480159383973,52.748997420851,53.2627185422797,53.7924979631717,54.3425152403632,54.9088501197315,55.39422421933,55.9201273567672,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Fiji,FJI,58.6286829493239,61.5388123857435,65.9375304442543,66.1709401709402,66.0010656382412,65.8582456879381,65.7190112706956,65.5722584854923,65.4243853885393,65.3731808269171,65.3055432235379,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Finland,FIN,67.257980129786,66.8701187404514,66.5184629488834,66.247846073508,65.7820153557773,65.2138747972466,64.577174477653,63.9384605465814,63.3449751421297,62.8442675916187,62.3649635512257,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,France,FRA,66.0978723363167,65.2126122712544,64.9743878051901,64.7731565998813,64.4722131811407,64.0818202135633,63.6360479003751,63.194198194447,62.796420527165,62.4795270260561,62.1982212003075,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,French Polynesia,PYF,61.0399495904222,63.9531649090863,68.2996901133741,68.5191546561123,68.6929066160693,68.7780407282952,68.8112368752011,68.8283167080484,68.8407936908063,68.8806172557529,68.9399908836177,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Gabon,GAB,52.4369573162279,53.3940584280031,57.5879436888138,58.0174489851909,58.3762545658744,58.7321843993996,59.0727524953625,59.4000787967029,59.7239110443354,59.657255885232,59.647569522457,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,"Gambia, The",GMB,51.1441872234972,51.2768662265676,51.1051135670546,51.2239761392171,51.2787433082355,51.3958798640494,51.5634714552171,51.7686453386393,52.0011731450907,52.1388510479024,52.3319883003073,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Georgia,GEO,65.8299281454214,64.9812084092977,67.5054154958747,67.6698818738079,67.6027795944435,67.4743087343609,67.2791287992071,67.0127539045965,66.6707326084822,66.3218699726525,65.9534705619365,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Germany,DEU,69.131366606518,67.8446088533275,66.0124251268551,65.8950017606203,65.8610721973638,65.8692075817318,65.8798344023014,65.8508907755905,65.7636764592908,65.640928159976,65.4718322613631,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Ghana,GHA,53.4176313519175,55.2170147129997,56.6865118817147,56.911964799105,57.0617562534144,57.2346868029513,57.4215321944667,57.6153943525324,57.817392934537,57.9346813994165,58.0934401285388,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Greece,GRC,66.6920166263731,68.1659835081639,66.8156057570946,66.7316150919032,66.4728497072304,66.2318050998497,65.9980125957266,65.7568413115419,65.5062044251101,65.4626512332753,65.3892243148673,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Grenada,GRD,53.1879978812459,57.2019012192602,64.7838843292168,65.2426034372403,65.5074946466809,65.7976318009879,66.0765374047531,66.2702143663031,66.3593046441309,66.404204366503,66.3547414792488,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Guam,GUM,66.1616161616162,64.1605881709146,65.028794644259,65.2335616266526,65.4047520635279,65.5110549905296,65.5663289166017,65.6103424925606,65.6495485083159,65.6799430311364,65.7167735296446,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Guatemala,GTM,50.7887842727395,52.2861245845007,55.7567059657138,56.34349998363,56.9960409846357,57.5868230723534,58.1412194010675,58.6959674027647,59.2610003095537,59.7483040673859,60.2550163617791,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Guinea,GIN,52.7378981356688,52.3482990268769,53.2039997256673,53.3974543665701,53.5124062429487,53.6795784307877,53.8800245999368,54.0904758956179,54.294860709556,54.4420327197876,54.606368583717,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Guinea-Bissau,GNB,50.6886434583317,51.9317840880481,54.6262540792172,54.8611718127362,54.9344862713748,55.0466718636208,55.176256842869,55.3046106490882,55.4294034654108,55.4496397528664,55.5017694783652,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Guyana,GUY,59.9142483139583,59.8045137335541,62.2812605187389,62.768633565332,63.3991456414364,63.9140555391048,64.3451029639313,64.7467294041208,65.1419492683282,65.4112294921913,65.6969964993656,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Haiti,HTI,52.8596149826501,55.5912249099331,59.2464327652755,59.6596749655512,60.0193848154973,60.4280017610682,60.8567419392441,61.2634460115549,61.6277603124471,61.9499316606274,62.2276522964779,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Honduras,HND,50.7559338150774,53.9094794017979,58.6778304624219,59.3371168810186,60.0066334594569,60.67483880707,61.3357111547584,61.9793407268025,62.5944429918259,63.1740592724551,63.7039537868426,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,"Hong Kong SAR, China",HKG,70.4205115006437,72.1244230267658,74.9755988310351,75.0919152578972,75.0787842591407,74.9587238206017,74.6920608328574,74.2413403010023,73.6033959999178,73.0221230279769,72.2082754064118,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Hungary,HUN,66.1301290629257,68.0743399088802,68.9732905362839,69.0479802253058,68.9249079934097,68.7971772956459,68.6302270838048,68.3898898794345,68.0632466009296,67.6336506658631,67.1058109095465,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Iceland,ISL,64.3891422230761,65.1862285378073,67.0621286611871,67.1973726929897,66.9962710795317,66.7918998789651,66.5598463744806,66.2883343126539,65.9729350811372,65.7573223770882,65.4775016789792,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,India,IND,58.2424870032584,60.8660987513584,63.6428244123195,63.9949440116766,64.3036515424459,64.6565333633927,65.0297577582003,65.3867869499572,65.7060455215147,65.996647968568,66.2283012657042,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Indonesia,IDN,59.7815396027028,64.6045716395895,66.0370654060447,66.1826386647732,66.4016164324745,66.5550871663383,66.6872534489761,66.8460898356279,67.0462233937479,67.1458306933772,67.3241765216886,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,"Iran, Islamic Rep.",IRN,51.2850836314077,60.854770531611,71.4096740745878,71.6101453352788,71.7039947579851,71.7172777298809,71.6504718308106,71.5150287665934,71.3332643737431,71.1112966897744,70.8717398914389,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Iraq,IRQ,50.3235129877174,53.5805334708117,54.9050345192177,55.0204873102658,55.2427324403562,55.5192182855248,55.8079717806597,56.0612642146736,56.2650943916306,56.3474616754992,56.4156015874541,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Ireland,IRL,61.4162275229831,68.0418657775875,68.4082140705559,68.1050148176068,67.463757718636,66.8257121401624,66.2069595962552,65.6096528916873,65.0349236730142,64.7179754544889,64.4347755413714,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Israel,ISR,59.8457496153184,61.8991905371382,62.3637655744889,62.2794712440508,62.0408536441965,61.7665949483739,61.4708279712394,61.1797974872972,60.9170856093963,60.6244662363516,60.4044308946509,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Italy,ITA,68.6768876148491,67.5266928464988,65.6991659866772,65.4910922447816,65.2005008238882,64.8822391008754,64.5451380974727,64.2148595195744,63.9104186439777,63.6824995509839,63.4612305613722,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Jamaica,JAM,57.7956738642429,59.9950166813205,63.9674232065966,64.5942262025195,65.1100391483563,65.7056760455503,66.3247898613055,66.8610003818892,67.2429449980396,67.5307624364231,67.5891663803641,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Japan,JPN,69.6566086225961,68.232188305271,64.7290748995818,64.1463637017564,63.53694524539,62.8870380715539,62.222578988928,61.5826784719472,60.9934148210465,60.4996889474557,60.064612586084,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Jordan,JOR,51.0377797786991,57.4782143508004,59.2707263738074,59.3312532457859,59.4273910707975,59.5602942882098,59.724448812047,59.931769880624,60.2096207767797,60.4335941044451,60.6851245259784,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Kazakhstan,KAZ,62.7167484328237,65.6021509211141,69.0920006181351,69.1386157282016,68.7714162829226,68.291577082188,67.7158015365261,67.0944206236824,66.470157605379,65.757108065184,65.0806429773212,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Kenya,KEN,48.2953984374409,52.1887915044103,54.0829601380851,54.2946613594069,54.5345606906647,54.8752000985002,55.2793884754202,55.6886076361918,56.0747391109021,56.4827092776426,56.8471739418512,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Kiribati,KIR,56.2876318842181,56.7151624292112,60.1284702887598,60.3953162140046,60.2851245986852,60.57141249191,61.0356106325149,61.3409621756686,61.3520510288505,61.3829275755059,61.1135930170621,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,"Korea, Dem. People’s Rep.",PRK,68.5345389609666,68.1669496043778,68.3184018850329,68.4851033883563,68.6123636241259,68.6848501132653,68.7576262780369,68.9168730361159,69.1961077197331,69.4828532257569,69.8919676049926,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,"Korea, Rep.",KOR,69.3370061937001,72.1995921522654,73.0303167276397,73.1933023838889,73.2698640069078,73.3358765624223,73.3552482216096,73.2917367595001,73.1299307806579,72.9130769798243,72.6124966880605,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Kuwait,KWT,63.7844080938648,70.0302963660452,74.3046231223876,74.7958278673406,75.2036868103957,75.7111353781236,76.2476499874249,76.7069491995929,77.04999296203,76.8268344345238,76.5634367759628,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Kyrgyz Republic,KGZ,57.534856810942,59.5530367722759,65.3841825755447,65.5791405071282,65.5624949038436,65.4383862449563,65.2281885665385,64.9515998258571,64.6215322703426,64.1285859979643,63.6672044560924,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Lao PDR,LAO,52.2075993454929,53.0537195851466,59.293703742956,60.0216224904639,60.5697461761586,61.1099567291212,61.6151648218655,62.0495538818596,62.4025449105615,62.7756644259334,63.0858714290714,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Latvia,LVA,66.6680553303668,67.1550141496198,67.9907649667251,67.7325603346724,67.3592695411645,66.9324623712842,66.4732279359305,66.0188232376465,65.5854000400469,65.2335666039086,64.8399985638595,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Lebanon,LBN,59.9602814041796,64.2541523895597,67.4174953073708,67.8823907269789,68.0517125043152,68.0518728729372,67.9209575554074,67.8134356686505,67.8664317175196,68.1127040815308,68.3966922691318,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Lesotho,LSO,51.7168369350935,54.2358079069984,57.9222358854383,58.3241487225754,58.6721707459575,59.0147603171018,59.3439191521899,59.6436735274037,59.9077090743547,59.9923496509018,60.102922126914,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Liberia,LBR,51.9932940180199,53.6710761783062,53.473803681883,53.5806490422669,53.6751686110177,53.8268585215624,54.0401713276117,54.301316612678,54.5913311365557,54.84900482745,55.1320757428402,..
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,Libya,LBY,55.1403183610377,62.4067100953722,67.1503579531169,67.3792619392654,67.3514866631975,67.2973600001807,67.229360374566,67.1541017661201,67.0749027057934,67.2203548784706,67.4169706849793,..
