Source1,Source2,Date,Mean,YearMonth,PCP,TAVG,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1995-12,0.3,199512,2.25,33.42,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1995-11,0.45,199511,2.37,42.04,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1995-10,0.49,199510,2.63,54.45,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1995-09,0.34,199509,2.2,64.69,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1995-08,0.48,199508,2.66,74.32,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1995-07,0.49,199507,2.65,73.54,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1995-06,0.45,199506,3.23,67.55,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1995-05,0.29,199505,4.1,58.64,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1995-04,0.47,199504,2.83,49.41,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1995-03,0.45,199503,2.99,43.34,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1995-02,0.77,199502,1.6,37.36,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1995-01,0.5,199501,3.18,33.08,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1994-12,0.36,199412,2.19,36.23,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1994-11,0.46,199411,2.9,42.57,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1994-10,0.42,199410,2.86,54.21,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1994-09,0.32,199409,2.14,65.55,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1994-08,0.23,199408,2.54,72.21,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1994-07,0.32,199407,3.09,73.62,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1994-06,0.42,199406,2.9,70.95,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1994-05,0.29,199405,2.43,60.67,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1994-04,0.41,199404,2.82,52.66,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1994-03,0.26,199403,2.36,44.51,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1994-02,0.04,199402,2.15,31.87,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1994-01,0.3,199401,2.24,29.34,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1993-12,0.19,199312,1.96,34.2,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1993-11,0.07,199311,2.12,39.22,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1993-10,0.24,199310,2.19,52.97,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1993-09,0.11,199309,2.58,63.3,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1993-08,0.13,199308,2.77,71.89,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1993-07,0.28,199307,3.3,72.16,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1993-06,0.24,199306,3.61,67.21,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1993-05,0.26,199305,2.94,60.89,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1993-04,0.28,199304,2.92,49.91,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1993-03,0.36,199303,2.85,41.79,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1993-02,0.39,199302,2.18,31.14,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1993-01,0.37,199301,3.2,30.47,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1992-12,0.22,199212,2.79,31.75,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1992-11,0.04,199211,3.27,40.06,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1992-10,0.11,199210,1.67,54.54,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1992-09,0.01,199209,2.33,64.67,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1992-08,0.1,199208,2.9,69.84,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1992-07,0.13,199207,3.65,71.22,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1992-06,0.24,199206,3.39,67.44,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1992-05,0.32,199205,2.29,61.16,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1992-04,0.24,199204,2.06,52.54,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1992-03,0.47,199203,2.51,44.71,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1992-02,0.42,199202,2.32,39.7,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1992-01,0.45,199201,2.08,33.62,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1991-12,0.33,199112,2.77,35.74,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1991-11,0.31,199111,2.49,39.43,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1991-10,0.32,199110,2.1,54.75,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1991-09,0.5,199109,2.53,64.9,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1991-08,0.42,199108,2.6,72.99,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1991-07,0.51,199107,2.7,73.89,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1991-06,0.54,199106,2.84,69.08,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1991-05,0.39,199105,3.72,61.97,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1991-04,0.53,199104,3.35,52.54,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1991-03,0.36,199103,3.33,43.32,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1991-02,0.51,199102,1.64,39.81,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1991-01,0.42,199101,2.37,29.48,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1990-12,0.42,199012,2.69,30.83,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1990-11,0.46,199011,2.09,44.92,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1990-10,0.43,199010,2.76,53.98,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1990-09,0.3,199009,2.04,67.35,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1990-08,0.3,199008,2.65,72.28,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1990-07,0.44,199007,2.94,73.26,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1990-06,0.38,199006,2.5,70.23,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1990-05,0.46,199005,3.83,58.86,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1990-04,0.55,199004,2.49,52.52,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1990-03,0.76,199003,2.71,44.74,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1990-02,0.41,199002,2.68,36.7,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1990-01,0.41,199001,2.79,36.5,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1989-12,0.37,198912,1.34,27.73,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1989-11,0.21,198911,1.73,42.93,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1989-10,0.32,198910,1.89,54.34,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1989-09,0.37,198909,2.68,64.08,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1989-08,0.36,198908,2.73,71.31,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1989-07,0.34,198907,2.86,74.23,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1989-06,0.15,198906,3.8,68.13,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1989-05,0.17,198905,3.26,60.46,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1989-04,0.33,198904,1.79,52.88,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1989-03,0.36,198903,2.91,42.67,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1989-02,0.35,198902,2.01,29.17,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1989-01,0.16,198901,2.05,34.09,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1988-12,0.34,198812,1.69,33.46,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1988-11,0.13,198811,3.17,43.29,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1988-10,0.4,198810,1.43,53.96,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1988-09,0.42,198809,2.81,64.6,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1988-08,0.46,198808,2.57,73.67,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1988-07,0.35,198807,2.7,74.79,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1988-06,0.42,198806,1.61,70.88,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1988-05,0.44,198805,2.07,61.21,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1988-04,0.45,198804,2.32,51.82,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1988-03,0.49,198803,2.04,42.4,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1988-02,0.42,198802,1.52,33.69,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1988-01,0.57,198801,1.97,27.79,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1987-12,0.47,198712,2.87,34.54,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1987-11,0.25,198711,2.55,43.97,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1987-10,0.32,198710,1.15,52.95,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1987-09,0.39,198709,2.19,65.25,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1987-08,0.28,198708,2.74,71.87,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1987-07,0.46,198707,2.83,73.27,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1987-06,0.36,198706,2.81,70.25,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1987-05,0.26,198705,3.24,62.96,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1987-04,0.24,198704,1.46,53.53,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1987-03,0.17,198703,2.67,42.57,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1987-02,0.46,198702,2.33,37.38,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1987-01,0.36,198701,2.17,31.44,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1986-12,0.16,198612,2,34.43,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1986-11,0.11,198611,2.94,41.4,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1986-10,0.14,198610,2.81,54.01,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1986-09,0.02,198609,3.59,63.7,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1986-08,0.12,198608,2.82,71.73,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1986-07,0.13,198607,2.75,73.51,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1986-06,0.12,198606,3.03,70.41,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1986-05,0.26,198605,2.95,61.09,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1986-04,0.26,198604,2.24,52.86,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1986-03,0.29,198603,1.98,46.18,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1986-02,0.39,198602,2.82,35.85,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1986-01,0.3,198601,1.45,34.68,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1985-12,0.15,198512,1.46,28.81,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1985-11,0.09,198511,3.54,39.51,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1985-10,0.11,198510,3.18,54.3,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1985-09,0.14,198509,3,62.73,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1985-08,0.15,198508,2.93,71.02,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1985-07,0,198507,2.72,74.05,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1985-06,0.17,198506,2.62,68.11,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1985-05,0.17,198505,2.55,62.08,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1985-04,0.11,198504,1.97,54.36,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1985-03,0.17,198503,2.48,43.48,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1985-02,-0.06,198502,2.1,30.87,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1985-01,0.21,198501,1.42,26.31,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1984-12,-0.06,198412,2.49,34.54,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1984-11,0.04,198411,2.85,41.54,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1984-10,0.15,198410,3.65,53.6,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1984-09,0.2,198409,1.91,63.14,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1984-08,0.15,198408,2.43,73.13,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1984-07,0.16,198407,2.83,73.17,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1984-06,0.04,198406,2.93,68.61,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1984-05,0.33,198405,3.15,60.08,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1984-04,0.08,198404,2.95,49.6,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1984-03,0.29,198403,2.75,40.08,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1984-02,0.17,198402,2.11,37.38,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1984-01,0.3,198401,1.35,28.83,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1983-12,0.17,198312,3.44,25.47,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1983-11,0.3,198311,3.92,43.03,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1983-10,0.15,198310,2.61,55,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1983-09,0.38,198309,2.26,65.59,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1983-08,0.3,198308,2.37,75.06,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1983-07,0.15,198307,2.08,73.99,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1983-06,0.18,198306,2.95,67.1,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1983-05,0.35,198305,3.47,57.94,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1983-04,0.3,198304,3.2,47.01,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1983-03,0.42,198303,3.7,42.4,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1983-02,0.4,198302,2.68,36.86,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1983-01,0.52,198301,2.08,33.12,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1982-12,0.43,198212,3.76,35.82,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1982-11,0.14,198211,2.99,41.13,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1982-10,0.13,198210,2.33,53.26,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1982-09,0.15,198209,2.45,64.04,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1982-08,0.08,198208,2.55,72.09,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1982-07,0.13,198207,2.95,73.2,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1982-06,0.05,198206,3.31,66.33,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1982-05,0.16,198205,3.42,60.8,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1982-04,0.1,198204,2.52,48.63,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1982-03,-0.01,198203,2.51,42.03,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1982-02,0.14,198202,2.23,32.59,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1982-01,0.09,198201,2.84,26.22,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1981-12,0.4,198112,2.41,33.66,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1981-11,0.21,198111,2.01,44.74,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1981-10,0.13,198110,3.1,52.32,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1981-09,0.17,198109,2.08,64.92,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1981-08,0.35,198108,2.76,72.1,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1981-07,0.35,198107,3.09,73.96,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1981-06,0.31,198106,3.41,69.82,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1981-05,0.25,198105,3.55,58.96,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1981-04,0.32,198104,2.19,55.13,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1981-03,0.48,198103,2.21,42.85,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1981-02,0.41,198102,2.17,36.59,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1981-01,0.56,198101,0.98,32.41,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1980-12,0.21,198012,1.57,35.19,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1980-11,0.3,198011,1.76,42.31,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1980-10,0.2,198010,1.87,52.59,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1980-09,0.21,198009,2.79,66.24,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1980-08,0.24,198008,2.57,72.79,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1980-07,0.28,198007,1.97,75.76,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1980-06,0.16,198006,2.31,68.74,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1980-05,0.34,198005,3.09,60.28,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1980-04,0.32,198004,2.38,51.44,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1980-03,0.29,198003,3.39,39.36,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1980-02,0.42,198002,1.92,32.85,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1980-01,0.3,198001,2.65,31.12,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1979-12,0.47,197912,1.86,36.03,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1979-11,0.29,197911,2.34,39.94,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1979-10,0.26,197910,2.2,55.26,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1979-09,0.27,197909,2.51,66.09,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1979-08,0.14,197908,2.99,70.97,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1979-07,0.03,197907,3.3,73.13,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1979-06,0.14,197906,2.54,67.82,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1979-05,0.06,197905,3.23,59.13,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1979-04,0.13,197904,3.07,50.14,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1979-03,0.19,197903,2.8,42.06,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1979-02,-0.09,197902,2.6,28.13,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1979-01,0.14,197901,3.31,21.9,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1978-12,0.11,197812,2.53,29.8,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1978-11,0.16,197811,2.6,41.47,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1978-10,0,197810,1.11,54.41,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1978-09,0.05,197809,2.44,65.84,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1978-08,-0.18,197808,2.77,71.8,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1978-07,0.07,197807,2.75,73.8,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1978-06,-0.03,197806,2.55,68.94,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1978-05,0.07,197805,3.64,59.74,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1978-04,0.15,197804,2.54,51.58,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1978-03,0.21,197803,2.26,41.31,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1978-02,0.14,197802,1.77,27.99,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1978-01,0.08,197801,3.18,25.86,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1977-12,0.05,197712,2.72,33.28,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1977-11,0.2,197711,2.86,42.87,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1977-10,0.04,197710,2.19,53.98,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1977-09,0.02,197709,3.22,65.93,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1977-08,0.19,197708,3.55,71.78,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1977-07,0.23,197707,2.56,74.43,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1977-06,0.25,197706,2.49,70.34,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1977-05,0.3,197705,2.67,61.66,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1977-04,0.27,197704,2.27,54.07,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1977-03,0.25,197703,3.1,43.18,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1977-02,0.2,197702,1.23,36.03,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1977-01,0.18,197701,1.58,23.09,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1976-12,0.09,197612,1.36,30.92,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1976-11,-0.06,197611,1.11,38.48,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1976-10,-0.26,197610,2.44,50,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1976-09,-0.09,197609,2.45,64.18,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1976-08,-0.18,197608,2,70.66,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1976-07,-0.12,197607,2.74,72.9,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1976-06,-0.15,197606,2.77,67.8,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1976-05,-0.23,197605,2.93,59.04,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1976-04,-0.1,197604,2.29,51.85,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1976-03,-0.21,197603,2.57,42.31,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1976-02,-0.06,197602,1.89,39.56,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1976-01,0,197601,1.76,29.93,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1975-12,-0.17,197512,2.11,34.29,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1975-11,-0.16,197511,2.28,42.6,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1975-10,-0.09,197510,2.3,54.63,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1975-09,-0.03,197509,2.66,62.89,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1975-08,-0.2,197508,2.83,71.53,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1975-07,-0.03,197507,2.97,73.56,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1975-06,-0.02,197506,3.31,67.51,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1975-05,0.16,197505,3.28,60.35,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1975-04,0.06,197504,2.67,46.85,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1975-03,0.14,197503,3.4,38.7,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1975-02,0.07,197502,2.61,32.76,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1975-01,0.07,197501,2.61,32.34,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1974-12,-0.09,197412,2.42,33.66,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1974-11,-0.07,197411,2.18,42.39,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1974-10,-0.07,197410,2.01,53.89,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1974-09,-0.12,197409,2.72,62.31,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1974-08,0.12,197408,3.43,70.3,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1974-07,-0.03,197407,2.14,74.08,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1974-06,-0.05,197406,2.64,68.49,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1974-05,-0.01,197405,3.07,60.37,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1974-04,-0.1,197404,2.55,51.55,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1974-03,-0.05,197403,2.63,44.38,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1974-02,-0.28,197402,1.68,34.74,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1974-01,-0.14,197401,3.15,31.01,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1973-12,-0.06,197312,3.09,33.71,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1973-11,0.06,197311,3.17,42.93,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1973-10,0.12,197310,2.37,56.07,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1973-09,0.06,197309,3.46,64.4,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1973-08,0.02,197308,2.06,72.61,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1973-07,0.09,197307,2.96,73.26,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1973-06,0.16,197306,3.05,68.95,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1973-05,0.26,197305,3.03,59.23,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1973-04,0.25,197304,3.33,48.83,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1973-03,0.26,197303,4,44.29,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1973-02,0.3,197302,1.96,33.58,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1973-01,0.28,197301,2.48,29.59,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1972-12,0.18,197212,3.02,29.86,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1972-11,0.03,197211,3.05,38.93,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1972-10,0.09,197210,2.75,52.29,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1972-09,0.03,197209,2.74,64.44,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1972-08,0.18,197208,2.64,71.67,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1972-07,0.02,197207,2.93,72.18,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1972-06,0.04,197206,3.1,68.22,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1972-05,-0.03,197205,2.95,60.53,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1972-04,-0.01,197204,2.26,50.81,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1972-03,0.02,197203,2.13,44.04,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1972-02,-0.17,197202,1.8,33.55,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1972-01,-0.24,197201,2.33,29.93,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1971-12,-0.08,197112,3.2,33.98,
GISTEMP,"NOAA, US data Camp Mabry, Texas",1971-11,-0.04,197111,2.03,41.61,
